   alt                        press                      den                        temp                       eddy                       H2O                        CO2                        N2                         H2                         CH4                        CO                         
   5.50919118915721739E+000   8.60786072356638732E-001   1.90003626463043830E+019   3.28133112970325044E+002   5.00000000000000000E+005   1.78202184645238765E-001   8.05462740184582048E-003   1.00682842523072743E-002   8.03674903499242199E-001   1.00682842523072760E-010   1.00682842523072760E-010
   1.65275735674716522E+001   6.65811990029569256E-001   1.50059110763341578E+019   3.21370464510851207E+002   5.00000000000000000E+005   1.68640600571632354E-001   8.14834266324631316E-003   1.01854283290578919E-002   8.13025628232354913E-001   1.01854283290578894E-010   1.01854283290578894E-010
   2.75459559457860870E+001   5.14627373539660038E-001   1.18372680396020122E+019   3.14889455981275773E+002   5.00000000000000000E+005   1.59010315440687777E-001   8.24273127934382378E-003   1.03034140991797793E-002   8.22443538974720223E-001   1.03034140991797804E-010   1.03034140991797804E-010
   3.85643383241005253E+001   3.86013112476203513E-001   9.05739395743224320E+018   3.08684993234253852E+002   5.00000000000000000E+005   1.48244040140645683E-001   8.34825399360183094E-003   1.04353174920022926E-002   8.32972388165043931E-001   1.04353174920022916E-010   1.04353174920022916E-010
   4.95827207024149601E+001   2.97026450651933172E-001   7.10583150415082701E+018   3.02758913337480351E+002   5.00000000000000000E+005   1.38584797336594734E-001   8.44292643044325213E-003   1.05536580380540621E-002   8.42418617983834661E-001   1.05536580380540649E-010   1.05536580380540649E-010
   6.06011030807293949E+001   2.31233579277243112E-001   5.63797264085103104E+018   2.97060327126852428E+002   5.00000000000000000E+005   1.29440558492849356E-001   8.53255119627213156E-003   1.06656889953401640E-002   8.51361201102224574E-001   1.06656889953401631E-010   1.06656889953401631E-010
   7.16194854590438297E+001   1.80072857661205094E-001   4.47317901504762266E+018   2.91573933077944616E+002   5.00000000000000000E+005   1.20303471331242098E-001   8.62210586683689190E-003   1.07776323335461131E-002   8.60296790252822241E-001   1.07776323335461151E-010   1.07776323335461151E-010
   8.26378678373582716E+001   1.36625418998691822E-001   3.45649685276991744E+018   2.86293876054339478E+002   5.00000000000000000E+005   1.10248190431920565E-001   8.72065996317501584E-003   1.09008249539687720E-002   8.70130324432919378E-001   1.09008249539687720E-010   1.09008249539687720E-010
   9.36562502156726993E+001   1.06706165507521863E-001   2.74837098777970278E+018   2.81210074654086895E+002   5.00000000000000000E+005   1.01446562489711012E-001   8.80692672159121871E-003   1.10086584019890212E-002   8.78737852166535660E-001   1.10086584019890214E-010   1.10086584019890214E-010
   1.04674632593987141E+002   8.39533487287165009E-002   2.20086960679600794E+018   2.76286985692956364E+002   5.00000000000000000E+005   9.29915042242949741E-002   8.88979667173756156E-003   1.11122458396719533E-002   8.87006453042050613E-001   1.11122458396719541E-010   1.11122458396719541E-010
   1.15693014972301569E+002   6.61599800628416695E-002   1.76284908756515661E+018   2.71829726274989298E+002   5.00000000000000000E+005   8.49343693734702365E-002   8.96876648394350461E-003   1.12109581049293777E-002   8.94885905813437743E-001   1.12109581049293798E-010   1.12109581049293798E-010
   1.26711397350616011E+002   5.22265589532895091E-002   1.41219598064305638E+018   2.67863265324296890E+002   5.00000000000000000E+005   7.73760855202460102E-002   9.04284694400024971E-003   1.13035586800003113E-002   9.02277508629682368E-001   1.13035586800003131E-010   1.13035586800003131E-010
   1.37729779728930453E+002   4.13073707223962153E-002   1.13318292259359155E+018   2.64024512082016429E+002   5.00000000000000000E+005   6.99815873619339252E-002   9.11532210318904447E-003   1.13941526289863052E-002   9.09508937678007778E-001   1.13941526289863058E-010   1.13941526289863058E-010
   1.48748162107244866E+002   3.22030084116771489E-002   8.96254753526204032E+017   2.60244578381188660E+002   5.00000000000000000E+005   6.22076378286893217E-002   9.19151635165392673E-003   1.14893954395674080E-002   9.17111450150301488E-001   1.14893954395674089E-010   1.14893954395674089E-010
   1.59766544485559308E+002   2.57184103486055200E-002   7.26214850046439808E+017   2.56504928069776781E+002   5.00000000000000000E+005   5.53572134211871500E-002   9.25865892019813418E-003   1.15733236502476682E-002   9.23810803776900391E-001   1.15733236502476683E-010   1.15733236502476683E-010
   1.70784926863873750E+002   2.06107258747318875E-002   5.90559177375281280E+017   2.52782253741862888E+002   5.00000000000000000E+005   4.86929996979155524E-002   9.32397639545091451E-003   1.16549704943136444E-002   9.30328053179220626E-001   1.16549704943136430E-010   1.16549704943136430E-010
   1.81803309242188192E+002   1.65605737272260072E-002   4.81619253491810688E+017   2.49050980344669398E+002   5.00000000000000000E+005   4.22005291049820930E-002   9.38761057720028692E-003   1.17345132215003582E-002   9.36677346861627180E-001   1.17345132215003546E-010   1.17345132215003546E-010
   1.92821691620502634E+002   1.33420194335495974E-002   3.93985429452261312E+017   2.45277734042041800E+002   5.00000000000000000E+005   3.59038705118233659E-002   9.44932556097963228E-003   1.18116569512245421E-002   9.42835146739739338E-001   1.18116569512245403E-010   1.18116569512245403E-010
   2.03840073998817047E+002   1.07778086330490106E-002   3.23354695517597120E+017   2.41417091629789724E+002   5.00000000000000000E+005   2.98314080785558808E-002   9.50884314717638165E-003   1.18860539339704762E-002   9.48773694602576323E-001   1.18860539339704749E-010   1.18860539339704749E-010
   2.14858456377131489E+002   8.72878305194571893E-003   2.66306666491710560E+017   2.37404189384495709E+002   5.00000000000000000E+005   2.40190120660865557E-002   9.56581176320050845E-003   1.19572647040006360E-002   9.54457911227566846E-001   1.19572647040006374E-010   1.19572647040006374E-010
   2.25876838755445931E+002   7.08555696908672126E-003   2.20126184783623520E+017   2.33141187938466203E+002   5.00000000000000000E+005   1.85163087469796921E-002   9.61974501066135100E-003   1.20246812633266909E-002   9.59839264738538644E-001   1.20246812633266904E-010   1.20246812633266904E-010
   2.36895221133760373E+002   5.76194972542475644E-003   1.82664691470253664E+017   2.28471258677553493E+002   5.00000000000000000E+005   1.33992362184605380E-002   9.66989860298704020E-003   1.20873732537337998E-002   9.64843491683071264E-001   1.20873732537338026E-010   1.20873732537338026E-010
   2.47913603512074786E+002   4.68977124555432397E-003   1.52235025819162624E+017   2.23127855601848410E+002   5.00000000000000000E+005   8.79506162973161046E-003   9.71502516588650979E-003   1.21437814573581368E-002   9.69346131504147834E-001   1.21437814573581371E-010   1.21437814573581371E-010
   2.58931985890389228E+002   3.81665405598678037E-003   1.26942842176257712E+017   2.17766613095469978E+002   5.00000000000000000E+005   5.28744167251725319E-003   9.74940414730354928E-003   1.21867551841294344E-002   9.72776398752314697E-001   1.21867551841294359E-010   1.21867551841294359E-010
   2.69950368268703642E+002   3.10299560096617775E-003   1.04534444879998144E+017   2.15000000000000000E+002   5.00000000000000000E+005   3.82932183827716698E-003   9.76369551161798688E-003   1.22046193895224853E-002   9.74202363016489992E-001   1.22046193895224852E-010   1.22046193895224852E-010
   2.80968750647018112E+002   2.52155931924595003E-003   8.49468828081121280E+016   2.15000000000000000E+002   5.00000000000000000E+005   3.82932183827716698E-003   9.76369551161798861E-003   1.22046193895224853E-002   9.74202363016490103E-001   1.22046193895224827E-010   1.22046193895224827E-010
   2.91987133025332525E+002   2.04962968251494199E-003   6.90484063221208720E+016   2.15000000000000000E+002   5.00000000000000000E+005   3.82932183827716655E-003   9.76369551161798514E-003   1.22046193895224819E-002   9.74202363016489881E-001   1.22046193895224801E-010   1.22046193895224801E-010
   3.03005515403646996E+002   1.66646401280818169E-003   5.61402312130754960E+016   2.15000000000000000E+002   5.00000000000000000E+005   3.82932183827716611E-003   9.76369551161798514E-003   1.22046193895224801E-002   9.74202363016489881E-001   1.22046193895224827E-010   1.22046193895224827E-010
   3.14023897781961409E+002   1.35528593283988576E-003   4.56571909412230400E+016   2.15000000000000000E+002   5.00000000000000000E+005   3.82932183827716655E-003   9.76369551161798514E-003   1.22046193895224801E-002   9.74202363016489881E-001   1.22046193895224827E-010   1.22046193895224827E-010
   3.25042280160275823E+002   1.10250460761775020E-003   3.71414342640629200E+016   2.15000000000000000E+002   5.00000000000000000E+005   3.82932183827716741E-003   9.76369551161798861E-003   1.22046193895224853E-002   9.74202363016490103E-001   1.22046193895224852E-010   1.22046193895224852E-010
   3.36060662538590293E+002   8.97107185205070642E-004   3.02219576379901920E+016   2.15000000000000000E+002   5.00000000000000000E+005   3.82932183827716741E-003   9.76369551161798688E-003   1.22046193895224819E-002   9.74202363016489881E-001   1.22046193895224827E-010   1.22046193895224827E-010
   3.47079044916904706E+002   7.30167593678951801E-004   2.45980574548114640E+016   2.15000000000000000E+002   5.00000000000000000E+005   3.82932183827716611E-003   9.76369551161798514E-003   1.22046193895224784E-002   9.74202363016489881E-001   1.22046193895224801E-010   1.22046193895224801E-010
   3.58097427295219177E+002   5.94449325318448978E-004   2.00259485421458080E+016   2.15000000000000000E+002   5.00000000000000000E+005   3.82932183827716524E-003   9.76369551161798341E-003   1.22046193895224801E-002   9.74202363016489881E-001   1.22046193895224775E-010   1.22046193895224775E-010
   3.69115809673533590E+002   4.84084154321360617E-004   1.63079407303801600E+016   2.15000000000000000E+002   5.00000000000000000E+005   3.82932183827716741E-003   9.76369551161798861E-003   1.22046193895224836E-002   9.74202363016489992E-001   1.22046193895224827E-010   1.22046193895224827E-010
   3.80134192051848004E+002   3.94312214546637036E-004   1.32836825305846500E+016   2.15000000000000000E+002   5.00000000000000000E+005   3.82932183827716828E-003   9.76369551161799035E-003   1.22046193895224871E-002   9.74202363016490214E-001   1.22046193895224852E-010   1.22046193895224852E-010
   3.91152574430162474E+002   3.21271670965116130E-004   1.08230755369265800E+016   2.15000000000000000E+002   5.00000000000000000E+005   3.82932183827716655E-003   9.76369551161798341E-003   1.22046193895224819E-002   9.74202363016489770E-001   1.22046193895224801E-010   1.22046193895224801E-010
   4.02170956808476888E+002   2.61828483182661119E-004   8.82053946023938900E+015   2.15000000000000000E+002   5.00000000000000000E+005   3.82932183827716741E-003   9.76369551161798688E-003   1.22046193895224836E-002   9.74202363016489992E-001   1.22046193895224827E-010   1.22046193895224827E-010
   4.13189339186791358E+002   2.13438586730892263E-004   7.19036925896317200E+015   2.15000000000000000E+002   5.00000000000000000E+005   3.82932183827716785E-003   9.76369551161798861E-003   1.22046193895224836E-002   9.74202363016490103E-001   1.22046193895224852E-010   1.22046193895224852E-010
   4.24207721565105771E+002   1.74036292509404365E-004   5.86297551333262900E+015   2.15000000000000000E+002   5.00000000000000000E+005   3.82932183827716655E-003   9.76369551161798688E-003   1.22046193895224836E-002   9.74202363016489881E-001   1.22046193895224801E-010   1.22046193895224801E-010
   4.35226103943420185E+002   1.41943895079951516E-004   4.78183928835326800E+015   2.15000000000000000E+002   5.00000000000000000E+005   3.82932183827716741E-003   9.76369551161798861E-003   1.22046193895224836E-002   9.74202363016490103E-001   1.22046193895224852E-010   1.22046193895224852E-010
   4.46244486321734655E+002   1.15798441461103518E-004   3.90104510374952350E+015   2.15000000000000000E+002   5.00000000000000000E+005   3.82932183827716698E-003   9.76369551161798688E-003   1.22046193895224871E-002   9.74202363016490103E-001   1.22046193895224827E-010   1.22046193895224827E-010
   4.57262868700049069E+002   9.44923879999716860E-005   3.18328176871627550E+015   2.15000000000000000E+002   5.00000000000000000E+005   3.82932183827716611E-003   9.76369551161798514E-003   1.22046193895224819E-002   9.74202363016489881E-001   1.22046193895224801E-010   1.22046193895224801E-010
   4.68281251078363482E+002   7.71254995431714269E-005   2.59822194988856250E+015   2.15000000000000000E+002   5.00000000000000000E+005   3.82932183827716698E-003   9.76369551161798688E-003   1.22046193895224853E-002   9.74202363016490103E-001   1.22046193895224827E-010   1.22046193895224827E-010
   4.79299633456677952E+002   6.29658513150510780E-005   2.12120839345241100E+015   2.15000000000000000E+002   5.00000000000000000E+005   3.82932183827716655E-003   9.76369551161798514E-003   1.22046193895224819E-002   9.74202363016489881E-001   1.22046193895224827E-010   1.22046193895224827E-010
   4.90318015834992366E+002   5.14182028721924217E-005   1.73218849949325050E+015   2.15000000000000000E+002   5.00000000000000000E+005   3.82932183827716741E-003   9.76369551161798861E-003   1.22046193895224853E-002   9.74202363016489992E-001   1.22046193895224827E-010   1.22046193895224827E-010
   5.01336398213306836E+002   4.19983439817576355E-005   1.41485007991801475E+015   2.15000000000000000E+002   5.00000000000000000E+005   3.82932183827716655E-003   9.76369551161798514E-003   1.22046193895224836E-002   9.74202363016489992E-001   1.22046193895224801E-010   1.22046193895224801E-010
   5.12354780591621306E+002   3.43122793839357177E-005   1.15592012984172475E+015   2.15000000000000000E+002   5.00000000000000000E+005   3.82932183827716698E-003   9.76369551161798514E-003   1.22046193895224819E-002   9.74202363016489881E-001   1.22046193895224801E-010   1.22046193895224801E-010
   5.23373162969935720E+002   2.80393353405956921E-005   9.44595717029259375E+014   2.15000000000000000E+002   5.00000000000000000E+005   3.82932183827716698E-003   9.76369551161798514E-003   1.22046193895224836E-002   9.74202363016489992E-001   1.22046193895224827E-010   1.22046193895224827E-010
   5.34391545348250133E+002   2.29184454841639179E-005   7.72081976350081500E+014   2.15000000000000000E+002   5.00000000000000000E+005   3.82932183827716655E-003   9.76369551161798861E-003   1.22046193895224836E-002   9.74202363016490103E-001   1.22046193895224827E-010   1.22046193895224827E-010
   5.45409927726564547E+002   1.87370147037304380E-005   6.31216953756865250E+014   2.15000000000000000E+002   5.00000000000000000E+005   3.82932183827716611E-003   9.76369551161798514E-003   1.22046193895224819E-002   9.74202363016489992E-001   1.22046193895224827E-010   1.22046193895224827E-010
   5.56428310104878960E+002   1.53108746168235460E-005   5.15796341509009062E+014   2.15000000000000000E+002   5.00000000000000000E+005   3.82932183827716698E-003   9.76369551161798688E-003   1.22046193895224836E-002   9.74202363016489881E-001   1.22046193895224827E-010   1.22046193895224827E-010
   5.67446692483193374E+002   1.24561455505024560E-005   4.19625557980423875E+014   2.15000000000000000E+002   5.00000000000000000E+005   3.82932183827716698E-003   9.76369551161798688E-003   1.22046193895224836E-002   9.74202363016489992E-001   1.22046193895224827E-010   1.22046193895224827E-010
   5.78465074861507901E+002   1.02025805028779159E-005   3.43706929162179062E+014   2.15000000000000000E+002   5.00000000000000000E+005   3.82932183827716698E-003   9.76369551161798861E-003   1.22046193895224853E-002   9.74202363016489992E-001   1.22046193895224827E-010   1.22046193895224827E-010
   5.89483457239822314E+002   8.35883482941922069E-006   2.81594391711306938E+014   2.15000000000000000E+002   5.00000000000000000E+005   3.82932183827716698E-003   9.76369551161798861E-003   1.22046193895224836E-002   9.74202363016490103E-001   1.22046193895224827E-010   1.22046193895224827E-010
   6.00501839618136728E+002   6.84996422067280491E-006   2.30763204122146500E+014   2.15000000000000000E+002   5.00000000000000000E+005   3.82932183827716611E-003   9.76369551161798514E-003   1.22046193895224819E-002   9.74202363016489881E-001   1.22046193895224801E-010   1.22046193895224801E-010
   6.11520221996451141E+002   5.61481119196578745E-006   1.89153078681577500E+014   2.15000000000000000E+002   5.00000000000000000E+005   3.82932183827716741E-003   9.76369551161798688E-003   1.22046193895224836E-002   9.74202363016490103E-001   1.22046193895224827E-010   1.22046193895224827E-010
   6.22538604374765555E+002   4.60345306337535730E-006   1.55082208418611000E+014   2.15000000000000000E+002   5.00000000000000000E+005   3.82932183827716741E-003   9.76369551161798861E-003   1.22046193895224853E-002   9.74202363016490103E-001   1.22046193895224852E-010   1.22046193895224852E-010
   6.33556986753080082E+002   3.77512534645299651E-006   1.27177309668437422E+014   2.15000000000000000E+002   5.00000000000000000E+005   3.82932183827716698E-003   9.76369551161798514E-003   1.22046193895224853E-002   9.74202363016489992E-001   1.22046193895224827E-010   1.22046193895224827E-010
   6.44575369131394496E+002   3.09653140776747540E-006   1.04316677620704250E+014   2.15000000000000000E+002   5.00000000000000000E+005   3.82932183827716785E-003   9.76369551161798688E-003   1.22046193895224853E-002   9.74202363016489992E-001   1.22046193895224852E-010   1.22046193895224852E-010
   6.55593751509708909E+002   2.54046609530354316E-006   8.55838187222447812E+013   2.15000000000000000E+002   5.00000000000000000E+005   3.82932183827716698E-003   9.76369551161799035E-003   1.22046193895224871E-002   9.74202363016490103E-001   1.22046193895224852E-010   1.22046193895224852E-010
   6.66612133888023322E+002   2.08469463763364973E-006   7.02296827689630312E+013   2.15000000000000000E+002   5.00000000000000000E+005   3.82932183827716655E-003   9.76369551161798514E-003   1.22046193895224836E-002   9.74202363016489881E-001   1.22046193895224827E-010   1.22046193895224827E-010
   6.77630516266337736E+002   1.71103916705168034E-006   5.76418894825340703E+013   2.15000000000000000E+002   5.00000000000000000E+005   3.82932183827716655E-003   9.76369551161798514E-003   1.22046193895224836E-002   9.74202363016489881E-001   1.22046193895224801E-010   1.22046193895224801E-010
